redispatch_name,plant_id,matched_name,fueltype,capacity_mw,confidence,source,reasoning,needs_review
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,314,Rheinhafen Dampfkraftwerk,Hard Coal,1351.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
OWP UW Dörpen-West,138696,Uw,Wind,2.35,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
50H OWP Arcadis Ost 1,30734,Arcadis Ost,Wind,9.525,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
ReserveKW Staudinger 5,699,Staudinger,Hard Coal,522.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Wilhelmshaven (ENGIE),25002,Wilhelmshaven On,Hard Coal,788.1,high,claude,"ENGIE operated the Wilhelmshaven hard coal plant; id=25002 'Wilhelmshaven On' matches the operator (ENGIE) and location at ~788 MW, which corresponds to the single unit operated by ENGIE at Wilhelmshaven.",
KMW_KW3,,,,,none,unmatched,None of the three candidates (biogas/oil combustion engines) plausibly match 'KMW KW3' (likely Kraftwerk Mannheim or similar large conventional plant block); no suitable candidate is present in the list.,YES
Gebersdorf 2,,,,,none,unmatched,None of the candidates correspond to Gebersdorf (a district in Nuremberg associated with a waste/biomass plant); no matching entry is present in the candidate list.,YES
50H Halle-Dieselstr HKW-BlockA,4695,Dieselstrasse,Natural Gas,172.871,high,claude,"The redispatch name explicitly references 'Dieselstr' (Dieselstraße) in Halle, and id=4695 'Dieselstrasse' is a Natural Gas CCGT at 172.9 MW located in Halle (51.458°N 11.991°E), making it a direct match.",
50H Berlin Mitte,10325,Berlin Mitte,Natural Gas,461.0,high,claude,"id=10325 'Berlin Mitte' is a Natural Gas CCGT at 461 MW located in central Berlin (52.512°N 13.421°E), which is the exact name and location match for the Berlin Mitte heat and power plant.",
50H Berlin Marzahn,4903,Marzahn,Natural Gas,189.5,high,claude,"id=4903 'Marzahn' is a Natural Gas CCGT at 189.5 MW located at 52.525°N 13.521°E, directly matching the Marzahn district of Berlin where this CHP plant is situated.",
Vorarlberger Ilwerke,,,,,none,unmatched,Vorarlberger Illwerke is an Austrian hydro power operator in Vorarlberg; none of the candidates (wind/solar/battery in Germany) are plausible matches.,YES
50H Hamburg Tiefstack GuD,3249,Gud Tiefstack,Natural Gas,100.0,high,claude,"id=3249 'Gud Tiefstack' is a Natural Gas CCGT at 100 MW located at the Tiefstack site in Hamburg (53.526°N 10.066°E), which directly matches the redispatch name specifying the GuD (gas-and-steam) unit at Hamburg Tiefstack.",
SW München KW-Pool,82836,Kwk Munchen,Natural Gas,2.002,medium,claude,"id=82836 'Kwk Munchen' is a Natural Gas Combustion Engine in Munich (48.141°N 11.425°E), and 'SW München' refers to Stadtwerke München; this is the most plausible candidate despite the small capacity, as a pool entry.",
Schwarze Pumpe (Standort),268,Schwarze Pumpe,Lignite,1510.0,high,claude,"id=268 'Schwarze Pumpe' is the well-known lignite steam turbine plant at 1510 MW in Spremberg (51.531°N 14.349°E), directly matching the redispatch name 'Schwarze Pumpe (Standort)'.",
50H OWP Arkona,30790,Arkona Becken Sud Ost,Wind,6.3,high,claude,"id=30790 'Arkona Becken Sud Ost' is the only Wind Offshore candidate and corresponds to the Arkona offshore wind park in the Baltic Sea, matching 'OWP Arkona' (Offshore-Windpark Arkona).",
LAUSWARD_GUDF,3228,Swd Kwl Gte,Natural Gas,826.4,high,claude,"id=3228 'Swd Kwl Gte' is the Stadtwerke Düsseldorf (SWD) Lausward GuD (gas-and-steam) plant at 826.4 MW (51.223°N 6.731°E), and 'GUDF' refers to the GuD Fortuna unit at Lausward, matching both the operator and location.",
50H UW Iven,148565,Windpark Iven Japezin,Wind,3.075,medium,claude,Both id=159413 and id=148565 are wind onshore plants near Iven (Mecklenburg); id=148565 'Windpark Iven Japezin' at 3.1 MW covers the Iven wind park area and is slightly more descriptive of the substation (UW Iven) aggregation.,
HAMMUENTROP_10,23755,Thtr 300,Nuclear,308.0,medium,claude,"HAMMUENTROP refers to Hamm-Uentrop, the site of the THTR-300 nuclear plant; id=23755 'Thtr 300' is a Nuclear Steam Turbine at 308 MW located at 51.680°N 7.972°E, which is in Hamm-Uentrop.",
HERDECKE_H6,719,Cuno Herdecke Bhkw,Natural Gas,423.03,high,claude,"id=719 'Cuno Herdecke Bhkw' is a Natural Gas CCGT at 423 MW in Herdecke (51.404°N 7.416°E); the Cuno power plant in Herdecke is the major conventional plant at that location, and 'H6' likely refers to a specific block/unit there.",
Rostock Kohlekraftwerk,319,Kng Rostock,Hard Coal,514.0,high,claude,"id=319 'Kng Rostock' is a Hard Coal Steam Turbine at 514 MW in Rostock (54.141°N 12.131°E), directly matching 'Rostock Kohlekraftwerk' (Rostock coal power plant).",
HAMMUENTROP_20,23755,Thtr 300,Nuclear,308.0,medium,claude,"Same as HAMMUENTROP_10, this refers to a second unit/block at the Hamm-Uentrop (THTR-300) site; id=23755 'Thtr 300' is the only relevant candidate at that location.",
