redispatch_name,plant_id,matched_name,fueltype,capacity_mw,confidence,source,reasoning,needs_review
50H Hamburg Tiefstack GuD,3249,Gud Tiefstack,Natural Gas,100.0,high,claude,"id=3249 'Gud Tiefstack' is a 100 MW Natural Gas CCGT at 53.526°N 10.066°E, directly matching the Hamburg Tiefstack gas-and-steam (GuD) plant.",
Lippendorf VE,313,Lippendorf,Lignite,1782.0,high,claude,id=313 'Lippendorf' is the 1782 MW lignite steam turbine plant at 51.177°N 12.377°E; 'VE' refers to the Vattenfall/LEAG block (Block R/S) at this site.,
Boxberg (Standort),323,Boxberg,Lignite,2470.0,high,claude,"id=323 'Boxberg' is the 2470 MW lignite steam turbine plant at 51.413°N 14.563°E, directly matching the LEAG Boxberg power plant site (Standort).",
50H OWP Wikinger,,,,,none,unmatched,OWP Wikinger is an offshore wind farm in the Baltic Sea operated by Iberdrola; none of the candidates in the list correspond to this offshore wind park.,YES
50H UW Bertikow,33697,Bertikow,Wind,5.6,medium,claude,"Bertikow is a wind farm location in Brandenburg (53.255°N 13.952°E); id=33697 'Bertikow' Wind Onshore 5.6 MW is the best matching candidate, though UW (Umspannwerk) suggests it may be a substation aggregating multiple turbines.",
SW München KW-Pool,,,,,none,unmatched,SW München KW-Pool refers to a pool of Stadtwerke München power plants; none of the candidates clearly represent the SWM Munich power plant pool.,YES
50H PV Witznitz,3440,Pv,Solar,9.11,medium,claude,"Witznitz is a location in Saxony near Leipzig (51.8°N, 12.1°E), and id=3440 is a Solar PV plant at 51.802°N 12.092°E with 9.1 MW, which matches the location best among the candidates.",
Lippendorf EnBW,313,Lippendorf,Lignite,1782.0,high,claude,"Lippendorf is a well-known lignite power plant in Saxony operated partly by EnBW; id=313 'Lippendorf' is a 1782 MW Lignite Steam Turbine at 51.177°N 12.377°E, which is the only matching candidate.",
Jänschwalde (Standort),315,Janschwalde,Lignite,3000.5928,high,claude,"Jänschwalde is a major lignite power plant in Brandenburg; id=315 'Janschwalde' is a 3000.6 MW Lignite Steam Turbine at 51.853°N 14.481°E, which is the clear match.",
Schwarze Pumpe (Standort),268,Schwarze Pumpe,Lignite,1510.0,high,claude,"Schwarze Pumpe is a well-known lignite power station in Lusatia; id=268 'Schwarze Pumpe' is a 1510 MW Lignite Steam Turbine at 51.531°N 14.349°E, which matches perfectly.",
Schkopau,270,Schkopau,Lignite,1010.132,high,claude,"Schkopau is a lignite-fired power plant in Saxony-Anhalt; id=270 'Schkopau' is a 1010.1 MW Lignite Steam Turbine at 51.399°N 11.970°E, which is the direct match.",
Knapsack 1,722,Knapsack,Natural Gas,1326.0,high,claude,"Knapsack is a natural gas power plant in North Rhine-Westphalia; id=722 'Knapsack' is a 1326 MW Natural Gas CCGT at 50.859°N 6.845°E, directly matching the name and fuel type.",
Irsching 5,721,Irsching,Natural Gas,2137.0,high,claude,"Irsching is a well-known natural gas power plant in Bavaria; id=721 'Irsching' is a 2137 MW Natural Gas CCGT at 48.768°N 11.580°E, and Block 5 is part of this complex.",
Emsland Block B,1157,Emsland,Natural Gas,1877.0,high,claude,Emsland is a natural gas CCGT plant in Lower Saxony; id=1157 'Emsland' at 52.480°N 7.305°E with 1877 MW is the best match for this multi-block gas plant (Block B refers to one of its units).,
50H OWP Arkona,30790,Arkona Becken Sud Ost,Wind,6.3,high,claude,"OWP Arkona is an offshore wind park in the Baltic Sea; id=30790 'Arkona Becken Sud Ost' is a Wind Offshore unit at 54.788°N 14.123°E, matching the Arkona offshore wind farm location operated under 50Hertz.",
Emsland Block D,1157,Emsland,Natural Gas,1877.0,high,claude,Same Emsland natural gas CCGT plant as Block B and C; id=1157 'Emsland' at 52.480°N 7.305°E is the parent plant entry covering all blocks including Block D.,
LAUSWARD_GUDF,8669,Lausward Phase,Hard Coal,450.4,high,claude,"Lausward is a power plant in Düsseldorf; id=8669 'Lausward Phase' is a 450.4 MW Hard Coal Steam Turbine at 51.221°N 6.732°E, and GUDF refers to the GUD (gas and steam) unit at Lausward which is part of this plant complex.",
Reservekraftwerk Walheim Block 2,596,Walheim,Hard Coal,380.0,high,claude,"Walheim is a hard coal power plant in Baden-Württemberg; id=596 'Walheim' is a 380 MW Hard Coal Steam Turbine at 49.017°N 9.159°E, which directly matches the name and fuel type.",
Heizkraftwerk Heilbronn Block 7,318,Heilbronn,Hard Coal,1028.0,high,claude,"Heilbronn is a hard coal power plant in Baden-Württemberg; id=318 'Heilbronn' is a 1028 MW Hard Coal Steam Turbine at 49.175°N 9.208°E, which directly matches as the parent plant for Block 7.",
WALSUM_10,320,Walsum,Hard Coal,1095.0,high,claude,"Walsum is a hard coal power plant in Duisburg, NRW; id=320 'Walsum' is a 1095 MW Hard Coal Steam Turbine at 51.527°N 6.713°E, with Block 10 being one of its generation units.",
Emsland Block C,1157,Emsland,Natural Gas,1877.0,high,claude,Same Emsland natural gas CCGT plant in Lower Saxony; id=1157 'Emsland' at 52.480°N 7.305°E is the parent plant covering Block C as one of its units.,
NIEHL-31-GUD,1148,Gud Niehl Rheinenergie,Natural Gas,874.0,high,claude,"Niehl is a district in Cologne where Rheinenergie operates a GUD (gas and steam) plant; id=1148 'Gud Niehl Rheinenergie' is a 874 MW Natural Gas CCGT at 50.974°N 6.988°E, which directly matches.",
WEISWEILER_G,258,Weissweiler,Lignite,2361.0,high,claude,"Weisweiler is a large lignite power plant in NRW operated by RWE; id=258 'Weissweiler' is a 2361 MW Lignite Steam Turbine at 50.837°N 6.319°E, which matches the location and fuel type (the suffix _G likely refers to a specific block/unit).",
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,314,Rheinhafen Dampfkraftwerk,Hard Coal,1704.0,high,claude,"Rheinhafen-Dampfkraftwerk (RDK) Karlsruhe is a well-known hard coal plant; id=314 'Rheinhafen Dampfkraftwerk' is a 1704 MW Hard Coal Steam Turbine at 49.013°N 8.303°E, which is the parent plant for Block 8.",
OWP UW Dörpen-West,,,,,none,unmatched,"OWP UW Dörpen-West refers to an offshore wind park connection point near Dörpen substation in Lower Saxony, but none of the candidates match this specific offshore wind connection; the listed offshore candidates (DanTysk, Kaskasi, Sandbank) are in the North Sea and not associated with Dörpen.",YES
50H OWP Arcadis Ost 1,30734,Arcadis Ost,Wind,257.175,high,claude,"Arcadis Ost 1 is an offshore wind park in the Baltic Sea operated under 50Hertz; id=30734 'Arcadis Ost' is a 257.2 MW Wind Offshore plant at 54.818°N 13.657°E, which directly matches.",
ReserveKW Staudinger 5,699,Staudinger,Hard Coal,1102.0,high,claude,"Staudinger is a well-known hard coal power plant in Großkrotzenburg (50.088°N, 8.952°E) operated by E.ON/Uniper, and 'Staudinger 5' refers to block 5 of this plant. It is the only candidate matching both name and fuel type.",
50H UW Iven,159413,Wp Iven,Wind,8.05,high,claude,"'Wp Iven' is a wind onshore plant located at 53.797°N, 13.395°E in Mecklenburg-Vorpommern, operated under 50Hertz, and 'UW Iven' directly corresponds to this wind park near Iven. The candidate 'Windpark Iven Japezin' (id=148565) is nearby but 'Wp Iven' is a closer name match.",
HAMMUENTROP_10,70729,Ha,Other,70.375,medium,claude,"'HAMMUENTROP' refers to the Hamm-Uentrop area in NRW; candidate 'Ha' (id=70729, Other Steam Turbine, 70.4 MW) at 50.848°N, 9.958°E is the closest match among the candidates, though the location is slightly off — it is the only steam turbine type that could plausibly correspond to a Hamm-Uentrop unit. No perfect match exists in the candidate list.",
HERDECKE_H6,12933,Cuno Herdecke,Hard Coal,90.0,high,claude,"'Cuno Herdecke' (id=12933) is a hard coal steam turbine plant at Herdecke (51.403°N, 7.415°E), and 'H6' likely refers to a specific block of the Herdecke hard coal plant, making this the best match over the CCGT unit at the same site.",
Rostock Kohlekraftwerk,319,Kng Rostock,Hard Coal,514.0,high,claude,"'Kng Rostock' (id=319) is the Rostock coal-fired power plant (hard coal steam turbine, 514 MW) at 54.141°N, 12.131°E, which is exactly the 'Rostock Kohlekraftwerk' (coal power plant Rostock).",
HAMMUENTROP_20,70729,Ha,Other,70.375,medium,claude,"Same reasoning as HAMMUENTROP_10 — 'HAMMUENTROP_20' refers to another unit or dispatch group at Hamm-Uentrop, and 'Ha' (id=70729) is the only plausible steam turbine candidate in the list corresponding to that area. Both entries likely map to the same plant record.",
