redispatch_name,plant_id,matched_name,fueltype,capacity_mw,confidence,source,reasoning,needs_review
BAG NWAK-Cluster 05 Kriegenbrunn-Ludersheim,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 14 Schwandorf,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 04 Aschaffenburg,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 12 Pirach-Simbach,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 02 Oberhaid-Redwitz,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Baden-Württemberg Nord-Ost EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 06 Raitersaich,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 01 Mechlenreuth,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
TTG Cluster EE Bechterdissen T411,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Jardelund,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Stuttgart Umland Ost EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Baden-Württemberg Süd EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Baden-Württemberg West EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Stuttgart Umland Nord EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Lübeck,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Hamburg Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Baden-Württemberg Nord-West EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Stuttgart Umland Süd EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Baden-Württemberg Nord EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Lüneburg T412,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_EMSLAND_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_EMSLAND_CR_SONSTIGE_EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Itzehoe West,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 13 Etzenricht,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Emden Borssum,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Gießen Nord T413 T414,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_VSE_CR_SONSTIGE_EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_VSE_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_BORNHEIM_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_EIFEL_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_TRIER_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_SIEGEN_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_SIERSDORF_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_NIEDERRHEIN_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_KREFELDNEUSS_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_HUERTH_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_MUENSTERLAND_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_VSE_CR_PHOTOVOLTAIK,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_TRIER_CR_PHOTOVOLTAIK,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_TRIER_CR_SONSTIGE_EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Lüneburg T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_DORTMUND_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_MUELHEIM_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_LEW_VERTEILNETZ_SUED_CR_KONVENTIONELL,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_LEW_VERTEILNETZ_NORD_CR_PHOTOVOLTAIK,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_LEW_VERTEILNETZ_NORD_CR_SONSTIGE_EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_LEW_VERTEILNETZ_NORD_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_LEW_VERTEILNETZ_SUED_CR_PHOTOVOLTAIK,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 08 Neufinsing,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 10 Oberbachern,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_LEW_VERTEILNETZ_SUED_CR_SONSTIGE_EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Vörden,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 09 Marienberg,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_SYNA_PFUNG_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Notfall-RD mit SHN,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Notfall-RD mit AVA,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_PAS,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_TEN_CR_M2_VIB,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_TEN_CR_S1_ATF,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_LAU_Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_AVA_CR_STW,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_KLM,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_AVA_CR_WOL,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_NIKE_CR_SONSTIGE_EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_NIKE_CR_KONVENTIONELL,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_AVA_CR_FOE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_NIKE_CR_PHOTOVOLTAIK,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_JSN,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_LAU_Sued,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
CROC Cluster Parchim Süd,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_TEN_CR_M1_EI,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_MA_Sued,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_MA_Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_PUL,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_WEMA_CR_GOE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_WEMA_CR_PMS,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_LHG,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_PZS,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_EH,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_RAG,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_ROE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_NHG_Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_HND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_VIE_Sued,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_GSE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_SOW_Sued,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_SOW_Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_BW,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_WEMA_CR_PE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_GUE_Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_PE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Voslapp,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Brunsbüttel,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_GUE_Sued,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
CROC Cluster Görries,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_ADB,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_TEN_CR_S2_WD,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster SC Dipperz Großkrotzenburg,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Landesbergen,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
CROC Cluster Güstrow,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_AVA_CR_WK,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_WEMA_CR_GUE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_WU,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Emden Ost,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_GRS,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_PRL,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_PRL_TU,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_FRN,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_HER,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_CRO,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_MNS_CR_ZW,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
50H_EDIS_CR_ATS,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Wilhelmshaven (ENGIE),25002,Wilhelmshaven On,Hard Coal,788.1,high,claude,"ENGIE operated the 788 MW hard coal unit at Wilhelmshaven (the former E.ON/ENGIE plant), matching both location (53.566°N 8.146°E) and operator. id=25002 'Wilhelmshaven On' aligns with this unit.",
Reservekraftwerk Altbach/Deizisau Block 1,265,Altbach Deizisau,Hard Coal,1004.0,high,claude,Altbach/Deizisau is a well-known hard coal plant in Baden-Württemberg operated by EnBW; id=265 'Altbach Deizisau' at 48.718°N 9.372°E with 1004 MW is the primary match for the reserve power plant entry covering Block 1.,
KMW_KW3,,,,,none,unmatched,"KMW likely refers to Kraftwerk Münster or a similar municipal utility; none of the candidates clearly match a 'KW3' block of a KMW plant, and the best partial match 'Kwm' (id=271) is in Wolfsburg (Hard Coal, 690 MW) which doesn't fit a typical KMW designation under Amprion's grid.",YES
Gebersdorf 2,,,,,none,unmatched,"Gebersdorf is a district of Nuremberg associated with a N-ERGIE power plant, but no candidate in the list directly matches a Gebersdorf conventional plant; none of the listed candidates correspond to this facility.",YES
50H Halle-Dieselstr HKW-BlockA,2776,Halle Trotha,Natural Gas,126.991,medium,claude,"The Halle-Dieselstraße HKW (heating power plant) is operated by EVH in Halle; id=2776 'Halle Trotha' is the only significant conventional plant in Halle (Natural Gas CCGT, 127 MW) among the candidates, making it the closest match, though the Dieselstraße block may be a sub-unit.",
50H Hamburg Wedel1,267,Wedel,Hard Coal,693.0,high,claude,Wedel is a large hard coal CHP plant near Hamburg operated by Vattenfall/Wärme Hamburg; id=267 'Wedel' at 53.567°N 9.725°E with 693 MW is the direct match for 'Wedel1'.,
50H Berlin Mitte,10325,Berlin Mitte,Natural Gas,461.0,high,claude,"id=10325 'Berlin Mitte' is explicitly named and located at 52.512°N 13.421°E as a Natural Gas CCGT with 461 MW, directly matching the TSO redispatch name for the Berlin Mitte power plant.",
50H Berlin Marzahn,4903,Marzahn,Natural Gas,258.8,high,claude,"id=4903 'Marzahn' is a Natural Gas CCGT (258.8 MW) at 52.525°N 13.521°E, directly matching the Berlin Marzahn power plant operated by Vattenfall/Wärme Berlin.",
50H Rostock Marienehe,3276,Rostock Marienehe,Natural Gas,108.0,high,claude,"id=3276 'Rostock Marienehe' is explicitly named, located at 54.126°N 12.084°E as a Natural Gas CCGT (108 MW), directly matching the redispatch plant name.",
Netzreservekraftwerk Bexbach A,322,Bexbach,Hard Coal,726.24,high,claude,"id=322 'Bexbach' is a hard coal steam turbine (726.2 MW) at 49.353°N 7.240°E, directly matching the Bexbach power plant in Saarland which was used as a Netzreservekraftwerk (grid reserve plant).",
Netzreservekraftwerk Weiher C,264,Weiher,Hard Coal,655.6,high,claude,"id=264 'Weiher' is a hard coal steam turbine (655.6 MW) at 49.334°N 7.028°E in Saarland, matching the Weiher power plant (Block C) which served as a Netzreservekraftwerk.",
OWP UW Büttel,,,,,none,unmatched,"OWP UW Büttel refers to the offshore wind park grid connection substation at Büttel (Schleswig-Holstein), but none of the wind onshore candidates in the list correspond to this offshore/substation entry.",YES
Vorarlberger Ilwerke,,,,,none,unmatched,Vorarlberger Illwerke is an Austrian hydropower company; none of the candidates in the list correspond to this Austrian operator's assets.,YES
50H Halle-Trotha HKW,2776,Halle Trotha,Natural Gas,126.991,high,claude,"id=2776 'Halle Trotha' is explicitly named as a Natural Gas CCGT (127 MW) at 51.491°N 11.968°E, directly matching the Halle-Trotha HKW (heating power plant) in Halle/Saale.",
50H Hamburg Tiefstack GuD,3249,Gud Tiefstack,Natural Gas,100.0,high,claude,"id=3249 'Gud Tiefstack' is explicitly named as a Natural Gas CCGT (100 MW) at 53.526°N 10.066°E, directly matching the Tiefstack GuD (gas-and-steam combined cycle) unit in Hamburg.",
Lippendorf VE,313,Lippendorf,Lignite,1782.0,high,claude,"id=313 'Lippendorf' is a lignite steam turbine (1782 MW) at 51.177°N 12.377°E; 'VE' refers to Vattenfall Europe which operated Block R at Lippendorf, making this the correct match.",
Boxberg (Standort),323,Boxberg,Lignite,2470.0,high,claude,"id=323 'Boxberg' is a lignite steam turbine (2470 MW) at 51.413°N 14.563°E in Saxony, directly matching the Boxberg power plant site ('Standort' = location/site).",
50H OWP Wikinger,,,,,none,unmatched,OWP Wikinger is an offshore wind farm in the Baltic Sea operated by Iberdrola; none of the candidates (all onshore wind turbines) match this offshore wind park.,YES
50H UW Bertikow,33697,Bertikow,Wind,5.6,medium,claude,"UW Bertikow refers to the substation (Umspannwerk) at Bertikow; id=33697 'Bertikow' is a wind onshore plant (5.6 MW) at 53.255°N 13.952°E which is the closest geographic match among the Bertikow candidates, though this may represent the substation-connected wind assets.",
SW München KW-Pool,,,,,none,unmatched,SW München KW-Pool refers to Stadtwerke München's power plant pool; none of the candidates clearly represent a SWM (Stadtwerke München) power plant pool entry in Munich.,YES
50H PV Witznitz,3440,Pv,Solar,9.11,medium,claude,"Witznitz is a location near Leipzig (51.8°N, 12.1°E) in the 50Hertz control area; id=3440 is a Solar PV plant at 51.802°N 12.092°E which matches this location closely and is the largest candidate at 9.1 MW.",
Lippendorf EnBW,313,Lippendorf,Lignite,1782.0,high,claude,Lippendorf is a well-known lignite power plant in Saxony operated partly by EnBW; id=313 'Lippendorf' at 51.177°N 12.377°E with 1782 MW matches perfectly.,
Jänschwalde (Standort),315,Janschwalde,Lignite,3000.5928,high,claude,Jänschwalde is the major lignite power plant operated by LEAG in Brandenburg; id=315 'Janschwalde' at 51.853°N 14.481°E with 3000.6 MW is the clear match.,
Schwarze Pumpe (Standort),268,Schwarze Pumpe,Lignite,1510.0,high,claude,Schwarze Pumpe is the well-known lignite power plant in Lusatia; id=268 'Schwarze Pumpe' at 51.531°N 14.349°E with 1510 MW is the direct match.,
Schkopau,270,Schkopau,Lignite,1010.132,high,claude,"Schkopau is a lignite power plant in Saxony-Anhalt; id=270 'Schkopau' at 51.399°N 11.970°E with 1010.1 MW matches exactly by name, location, and fuel type.",
Knapsack 1,722,Knapsack,Natural Gas,1326.0,high,claude,Knapsack 1 refers to block 1 of the Knapsack gas-fired power plant near Hürth; id=722 'Knapsack' at 50.859°N 6.845°E with 1326 MW is the primary CCGT plant matching this entry.,
Irsching 5,721,Irsching,Natural Gas,2137.0,high,claude,Irsching 5 is a block of the Irsching CCGT plant in Bavaria; id=721 'Irsching' at 48.768°N 11.580°E with 2137 MW is the only matching candidate by name and technology.,
Emsland Block B,1157,Emsland,Natural Gas,1877.0,high,claude,Emsland Block B refers to a block of the Emsland gas CCGT plant; id=1157 'Emsland' at 52.480°N 7.305°E with 1877 MW is the clear match by name and location.,
50H OWP Arkona,30790,Arkona Becken Sud Ost,Wind,6.3,high,claude,OWP Arkona refers to the Arkona offshore wind farm in the Baltic Sea operated in the 50Hertz zone; id=30790 'Arkona Becken Sud Ost' at 54.788°N 14.123°E is the best matching offshore wind candidate.,
Emsland Block D,1157,Emsland,Natural Gas,1877.0,high,claude,Emsland Block D is another block of the same Emsland CCGT plant; id=1157 'Emsland' at 52.480°N 7.305°E is the only appropriate match for this conventional gas plant.,
LAUSWARD_GUDF,8669,Lausward Phase,Hard Coal,450.4,high,claude,"Lausward is the power plant of Stadtwerke Düsseldorf at the Rhine; id=8669 'Lausward Phase' at 51.221°N 6.732°E with 450.4 MW Hard Coal is the best candidate, and the GUD suffix indicates the combined-cycle unit at this site.",
Reservekraftwerk Walheim Block 2,596,Walheim,Hard Coal,380.0,high,claude,"Walheim is a hard coal power plant in Baden-Württemberg; id=596 'Walheim' at 49.017°N 9.159°E with 380 MW matches exactly by name, location, and fuel type.",
Heizkraftwerk Heilbronn Block 7,318,Heilbronn,Hard Coal,1028.0,high,claude,"Heilbronn HKW Block 7 is part of the Heilbronn hard coal power station; id=318 'Heilbronn' at 49.175°N 9.208°E with 1028 MW is the correct match by name, location, and fuel type.",
WALSUM_10,320,Walsum,Hard Coal,1095.0,high,claude,Walsum 10 is block 10 of the Walsum hard coal power plant in Duisburg; id=320 'Walsum' at 51.527°N 6.713°E with 1095 MW matches exactly.,
Emsland Block C,1157,Emsland,Natural Gas,1877.0,high,claude,Emsland Block C is a block of the Emsland CCGT plant; id=1157 'Emsland' at 52.480°N 7.305°E with 1877 MW is the only appropriate match.,
NIEHL-31-GUD,1148,Gud Niehl Rheinenergie,Natural Gas,874.0,high,claude,Niehl GUD refers to the gas combined-cycle plant at Niehl operated by RheinEnergie in Cologne; id=1148 'Gud Niehl Rheinenergie' at 50.974°N 6.988°E with 874 MW is the direct match.,
WEISWEILER_G,258,Weissweiler,Lignite,2361.0,high,claude,Weisweiler is a large lignite-fired power plant in NRW operated by RWE; id=258 'Weissweiler' at 50.837°N 6.319°E with 2361 MW is the clear match (suffix _G indicates a generation block).,
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,314,Rheinhafen Dampfkraftwerk,Hard Coal,1704.0,high,claude,The Rheinhafen-Dampfkraftwerk (RDK) Karlsruhe Block 8 is part of the hard coal plant at Karlsruhe; id=314 'Rheinhafen Dampfkraftwerk' at 49.013°N 8.303°E with 1704 MW is the exact match.,
OWP UW Dörpen-West,,,,,none,unmatched,"OWP UW Dörpen-West refers to an offshore wind park connected via the Dörpen-West substation in the TenneT area, but none of the candidates match this specific offshore wind connection point.",YES
50H OWP Arcadis Ost 1,30734,Arcadis Ost,Wind,257.175,high,claude,Arcadis Ost 1 is an offshore wind farm in the Baltic Sea in the 50Hertz zone; id=30734 'Arcadis Ost' at 54.818°N 13.657°E with 257.2 MW is the direct match.,
ReserveKW Staudinger 5,699,Staudinger,Hard Coal,1102.0,high,claude,"Staudinger is a well-known hard coal power plant operated by Uniper in Großkrotzenburg (50.088°N 8.952°E), matching both the name and energy type. Block 5 is the largest unit at that plant.",
50H UW Iven,159413,Wp Iven,Wind,8.05,high,claude,"Wp Iven is a Wind Onshore plant at 53.797°N 13.395°E, closely matching the name 'UW Iven' (Umspannwerk Iven) under 50Hertz with a renewable energy type. Windpark Iven Japezin (id=148565) is nearby but Wp Iven is the direct name match.",
HAMMUENTROP_10,70729,Ha,Other,70.375,medium,claude,"HAMMUENTROP refers to Hamm-Uentrop, a power plant location in NRW; id=70729 'Ha' is an Other Steam Turbine at 50.848°N 9.958°E which is the closest match among the candidates for a conventional plant in that area. No exact Hamm-Uentrop entry is present but this is the best available match.",
HERDECKE_H6,719,Cuno Herdecke Bhkw,Natural Gas,423.03,high,claude,"Cuno Herdecke (id=719) is a large Natural Gas CCGT at 51.404°N 7.416°E, directly matching the Herdecke location; 'H6' refers to a specific unit/block at that plant.",
Rostock Kohlekraftwerk,319,Kng Rostock,Hard Coal,514.0,high,claude,"KNG Rostock (id=319) is a 514 MW Hard Coal Steam Turbine located at 54.141°N 12.131°E, perfectly matching 'Rostock Kohlekraftwerk' (Rostock coal power plant) under 50Hertz.",
HAMMUENTROP_20,70729,Ha,Other,70.375,medium,claude,"Same facility as HAMMUENTROP_10 — Hamm-Uentrop; id=70729 'Ha' is the best available candidate for this conventional plant in the Hamm area, with _20 indicating a different operational unit/block.",
Grosskraftwerk Mannheim Block 8,1083,Grosskraftwerk Mannheim,Hard Coal,1983.0,high,claude,Grosskraftwerk Mannheim (id=1083) is a 1983 MW Hard Coal Steam Turbine at 49.447°N 8.493°E — an exact name match; Block 8 is one of the generation units at this plant.,
50H Neubrandenburg GuD,1119,Gud,Natural Gas,204.8,low,claude,"No explicit Neubrandenburg GuD entry exists in the candidates; id=1119 'Gud' is a 204.8 MW Natural Gas CCGT under 50Hertz territory but is located near Leipzig. None of the candidates are clearly associated with Neubrandenburg, so this is a tentative match.",YES
GERSTEINW_F (KapRes),691,Gersteinwerk,Natural Gas,2053.5,high,claude,Gersteinwerk (id=691) is a large Natural Gas CCGT at 51.673°N 7.715°E — a direct name match; 'F' denotes a specific block at the Gersteinwerk facility operated by RWE/Uniper.,
50H UW Putlitz,99065,Putlitz,Wind,62.17686,high,claude,"Putlitz (id=99065) is a 62.2 MW Wind Onshore plant at 53.318°N 12.028°E, directly matching the name 'UW Putlitz' (Umspannwerk Putlitz) with the correct renewable energy type under 50Hertz.",
